name,strategy_name,variant_scenario,total_doses_med,infections,hospitalisations,deaths,doses_avert_hosp,doses_avert_death,cost_per_hosp1,cost_per_hosp2,cost_per_hosp3,cost_per_death1,cost_per_death2,cost_per_death3
rq1_hic_bv,"primary 10+, boost 75+ yearly",NA,210015,82,1148,347,183,605,366,3659,9147,1210,12105,30262
rq1_hic_bv,"primary 10+, boost 75+ 6 monthly",NA,350025,98,1342,398,261,879,522,5216,13041,1759,17589,43973
rq1_hic_bv,"primary 10+, boost 60+ yearly",NA,675570,318,2116,468,319,1444,639,6385,15963,2887,28871,72176
rq1_hic_bv,"primary 10+, boost 60+ 6 monthly",NA,1125950,389,2478,558,454,2018,909,9088,22719,4036,40357,100892
rq1_hic_bv,"primary 10+, boost 10+ yearly",NA,1337184,967,2918,590,458,2266,917,9165,22913,4533,45328,113321
rq3_hic_bv,"primary 10+, boost 75+ yearly",NA,210015,105,1458,414,144,507,288,2881,7202,1015,10146,25364
rq3_hic_bv,"primary 10+, boost 75+ 6 monthly",NA,350025,123,1589,483,220,725,441,4406,11014,1449,14494,36234
rq3_hic_bv,"primary 10+, boost 60+ yearly",NA,675570,313,2508,586,269,1153,539,5387,13468,2306,23057,57642
rq3_hic_bv,"primary 10+, boost 60+ 6 monthly",NA,1125950,403,2898,696,389,1618,777,7771,19426,3235,32355,80887
rq3_hic_bv,"primary 10+, boost 10+ yearly",NA,1337184,1038,3520,725,380,1844,760,7598,18994,3689,36888,92220
